date,value,state,positive,negative,pending,hospitalizedCurrently,hospitalizedCumulative,inIcuCurrently,inIcuCumulative,onVentilatorCurrently,onVentilatorCumulative,recovered,dateChecked,death,hospitalized,total,totalTestResults,posNeg,fips,deathIncrease,hospitalizedIncrease,negativeIncrease,positiveIncrease,totalTestResultsIncrease,state_code,POPESTIMATE2019,name,description,latitude,longitude,Stay At Home Order Date,Emergency Declaration Date
2020-03-07,43385,CA,69.0,462.0,,,,,,,,,2020-03-07T21:00:00Z,,,531.0,531.0,531.0,06,0.0,0.0,0.0,9.0,9.0,,,,,,,,
2020-03-14,57606,CA,252.0,916.0,,,,,,,,,2020-03-14T20:00:00Z,5.0,,1168.0,1168.0,1168.0,06,1.0,0.0,0.0,50.0,50.0,,,,,,,,
2020-03-21,186333,CA,1279.0,11249.0,,,,,,,,,2020-03-21T20:00:00Z,24.0,,12528.0,12528.0,12528.0,06,4.0,0.0,825.0,216.0,1041.0,,,,,,,,
2020-03-07,1865,CO,8.0,55.0,69.0,,,,,,,,2020-03-07T21:00:00Z,,,132.0,63.0,63.0,08,0.0,0.0,9.0,6.0,15.0,,,,,,,,
2020-03-14,2321,CO,101.0,610.0,,,,,,,,,2020-03-14T20:00:00Z,1.0,,711.0,711.0,711.0,08,1.0,0.0,86.0,29.0,115.0,,,,,,,,
2020-03-21,19774,CO,363.0,3317.0,,,44.0,,,,,,2020-03-21T20:00:00Z,4.0,44.0,3680.0,3680.0,3680.0,08,1.0,44.0,642.0,86.0,728.0,,,,,,,,
2020-03-07,2527,CT,0.0,,,,,,,,,,2020-03-07T21:00:00Z,,,0.0,0.0,0.0,09,,,,,,,,,,,,,
2020-03-14,3440,CT,11.0,125.0,,,,,,,,,2020-03-14T20:00:00Z,,,136.0,136.0,136.0,09,0.0,0.0,26.0,5.0,31.0,,,,,,,,
2020-03-21,25100,CT,194.0,2106.0,,,,,,,,,2020-03-21T20:00:00Z,4.0,,2300.0,2300.0,2300.0,09,1.0,0.0,1502.0,0.0,1502.0,,,,,,,,
2020-03-07,518,DE,0.0,10.0,0.0,,,,,,,,2020-03-07T21:00:00Z,,,10.0,10.0,10.0,10,0.0,0.0,0.0,0.0,0.0,,,,,,,,
2020-03-14,472,DE,6.0,36.0,32.0,,,,,,,,2020-03-14T20:00:00Z,,,74.0,42.0,42.0,10,0.0,0.0,6.0,2.0,8.0,,,,,,,,
