date,value,state
2013-06-08,648,VT
2013-06-15,709,VT
2013-06-22,1092,VT
2013-06-29,652,VT
2013-07-06,1027,VT
2013-07-13,562,VT
2013-07-20,528,VT
2013-07-27,469,VT
2013-08-03,524,VT
2013-08-10,525,VT
2013-08-17,430,VT
2013-08-24,466,VT
2013-08-31,433,VT
2013-09-07,476,VT
2013-09-14,443,VT
2013-09-21,432,VT
2013-09-28,408,VT
2013-10-05,625,VT
2013-10-12,611,VT
2013-10-19,495,VT
2013-10-26,656,VT
2013-11-02,783,VT
2013-11-09,864,VT
2013-11-16,789,VT
2013-11-23,805,VT
2013-11-30,1465,VT
2013-12-07,1065,VT
2013-12-14,867,VT
2013-12-21,1306,VT
2013-12-28,2234,VT
2014-01-04,1081,VT
2014-01-11,990,VT
2014-01-18,778,VT
2014-01-25,735,VT
2014-02-01,680,VT
2014-02-08,559,VT
2014-02-15,551,VT
2014-02-22,824,VT
2014-03-01,1010,VT
2014-03-08,915,VT
2014-03-15,702,VT
2014-03-22,618,VT
2014-03-29,566,VT
2014-04-05,831,VT
2014-04-12,904,VT
2014-04-19,1106,VT
2014-04-26,986,VT
2014-05-03,569,VT
2014-05-10,536,VT
2014-05-17,702,VT
2014-05-24,573,VT
2014-05-31,400,VT
2014-06-07,403,VT
2014-06-14,437,VT
2014-06-21,795,VT
2014-06-28,815,VT
2014-07-05,582,VT
2014-07-12,584,VT
2014-07-19,406,VT
2014-07-26,430,VT
2014-08-02,353,VT
2014-08-09,432,VT
2014-08-16,370,VT
2014-08-23,350,VT
2014-08-30,376,VT
2014-09-06,413,VT
2014-09-13,358,VT
2014-09-20,410,VT
2014-09-27,360,VT
2014-10-04,400,VT
2014-10-11,487,VT
2014-10-18,540,VT
2014-10-25,797,VT
2014-11-01,922,VT
2014-11-08,833,VT
2014-11-15,792,VT
2014-11-22,1011,VT
2014-11-29,1428,VT
2014-12-06,1075,VT
2014-12-13,868,VT
2014-12-20,1532,VT
2014-12-27,2016,VT
2015-01-03,978,VT
2015-01-10,1022,VT
2015-01-17,796,VT
2015-01-24,616,VT
2015-01-31,678,VT
2015-02-07,637,VT
2015-02-14,516,VT
2015-02-21,873,VT
2015-02-28,975,VT
2015-03-07,765,VT
2015-03-14,682,VT
2015-03-21,558,VT
2015-03-28,569,VT
2015-04-04,604,VT
2015-04-11,768,VT
2015-04-18,980,VT
2015-04-25,1087,VT
2015-05-02,515,VT
2015-05-09,504,VT
2015-05-16,814,VT
2015-05-23,494,VT
2015-05-30,444,VT
2015-06-06,422,VT
2015-06-13,395,VT
2015-06-20,761,VT
2015-06-27,731,VT
2015-07-04,467,VT
2015-07-11,496,VT
2015-07-18,364,VT
2015-07-25,419,VT
2015-08-01,388,VT
2015-08-08,410,VT
2015-08-15,419,VT
2015-08-22,364,VT
2015-08-29,347,VT
2015-09-05,341,VT
2015-09-12,346,VT
2015-09-19,309,VT
2015-09-26,286,VT
2015-10-03,352,VT
2015-10-10,450,VT
2015-10-17,553,VT
2015-10-24,616,VT
2015-10-31,633,VT
2015-11-07,705,VT
2015-11-14,666,VT
2015-11-21,795,VT
2015-11-28,1257,VT
2015-12-05,1273,VT
2015-12-12,720,VT
2015-12-19,669,VT
2015-12-26,2150,VT
2016-01-02,1152,VT
2016-01-09,1155,VT
2016-01-16,753,VT
2016-01-23,753,VT
2016-01-30,635,VT
2016-02-06,666,VT
2016-02-13,531,VT
2016-02-20,843,VT
2016-02-27,957,VT
2016-03-05,473,VT
2016-03-12,758,VT
2016-03-19,794,VT
2016-03-26,639,VT
2016-04-02,738,VT
2016-04-09,960,VT
2016-04-16,809,VT
2016-04-23,1168,VT
2016-04-30,523,VT
2016-05-07,527,VT
2016-05-14,556,VT
2016-05-21,777,VT
2016-05-28,490,VT
2016-06-04,417,VT
2016-06-11,456,VT
2016-06-18,996,VT
2016-06-25,629,VT
2016-07-02,739,VT
2016-07-09,540,VT
2016-07-16,427,VT
2016-07-23,639,VT
2016-07-30,362,VT
2016-08-06,523,VT
2016-08-13,550,VT
2016-08-20,389,VT
2016-08-27,385,VT
2016-09-03,362,VT
2016-09-10,379,VT
2016-09-17,350,VT
2016-09-24,353,VT
2016-10-01,328,VT
2016-10-08,448,VT
2016-10-15,571,VT
2016-10-22,618,VT
2016-10-29,544,VT
2016-11-05,733,VT
2016-11-12,542,VT
2016-11-19,692,VT
2016-11-26,1420,VT
2016-12-03,1218,VT
2016-12-10,666,VT
2016-12-17,781,VT
2016-12-24,1533,VT
2016-12-31,1531,VT
2017-01-07,940,VT
2017-01-14,676,VT
2017-01-21,611,VT
2017-01-28,575,VT
2017-02-04,562,VT
2017-02-11,554,VT
2017-02-18,571,VT
2017-02-25,783,VT
2017-03-04,785,VT
2017-03-11,468,VT
2017-03-18,891,VT
2017-03-25,469,VT
2017-04-01,540,VT
2017-04-08,764,VT
2017-04-15,646,VT
2017-04-22,1141,VT
2017-04-29,759,VT
2017-05-06,514,VT
2017-05-13,425,VT
2017-05-20,900,VT
2017-05-27,389,VT
2017-06-03,329,VT
2017-06-10,369,VT
2017-06-17,459,VT
2017-06-24,837,VT
2017-07-01,557,VT
2017-07-08,613,VT
2017-07-15,445,VT
2017-07-22,376,VT
2017-07-29,320,VT
2017-08-05,392,VT
2017-08-12,366,VT
2017-08-19,366,VT
2017-08-26,282,VT
2017-09-02,310,VT
2017-09-09,306,VT
2017-09-16,294,VT
2017-09-23,298,VT
2017-09-30,292,VT
2017-10-07,336,VT
2017-10-14,407,VT
2017-10-21,472,VT
2017-10-28,482,VT
2017-11-04,677,VT
2017-11-11,539,VT
2017-11-18,661,VT
2017-11-25,1191,VT
2017-12-02,879,VT
2017-12-09,586,VT
2017-12-16,688,VT
2017-12-23,1323,VT
2017-12-30,1570,VT
2018-01-06,945,VT
2018-01-13,724,VT
2018-01-20,511,VT
2018-01-27,589,VT
2018-02-03,468,VT
2018-02-10,475,VT
2018-02-17,412,VT
2018-02-24,742,VT
2018-03-03,889,VT
2018-03-10,442,VT
2018-03-17,738,VT
2018-03-24,450,VT
2018-03-31,434,VT
2018-04-07,623,VT
2018-04-14,625,VT
2018-04-21,952,VT
2018-04-28,713,VT
2018-05-05,433,VT
2018-05-12,357,VT
2018-05-19,587,VT
2018-05-26,387,VT
2018-06-02,396,VT
2018-06-09,332,VT
2018-06-16,367,VT
2018-06-23,799,VT
2018-06-30,610,VT
2018-07-07,470,VT
2018-07-14,335,VT
2018-07-21,304,VT
2018-07-28,309,VT
2018-08-04,319,VT
2018-08-11,263,VT
2018-08-18,265,VT
2018-08-25,273,VT
2018-09-01,334,VT
2018-09-08,272,VT
2018-09-15,356,VT
2018-09-22,267,VT
2018-09-29,264,VT
2018-10-06,330,VT
2018-10-13,372,VT
2018-10-20,391,VT
2018-10-27,359,VT
2018-11-03,572,VT
2018-11-10,510,VT
2018-11-17,629,VT
2018-11-24,1155,VT
2018-12-01,862,VT
2018-12-08,633,VT
2018-12-15,597,VT
2018-12-22,1115,VT
2018-12-29,1503,VT
2019-01-05,699,VT
2019-01-12,674,VT
2019-01-19,576,VT
2019-01-26,528,VT
2019-02-02,692,VT
2019-02-09,500,VT
2019-02-16,479,VT
2019-02-23,656,VT
2019-03-02,845,VT
2019-03-09,430,VT
2019-03-16,641,VT
2019-03-23,499,VT
2019-03-30,397,VT
2019-04-06,519,VT
2019-04-13,698,VT
2019-04-20,944,VT
2019-04-27,663,VT
2019-05-04,380,VT
2019-05-11,434,VT
2019-05-18,528,VT
2019-05-25,430,VT
2019-06-01,405,VT
2019-06-08,312,VT
2019-06-15,335,VT
2019-06-22,837,VT
2019-06-29,603,VT
2019-07-06,538,VT
2019-07-13,384,VT
2019-07-20,262,VT
2019-07-27,289,VT
2019-08-03,296,VT
2019-08-10,289,VT
2019-08-17,321,VT
2019-08-24,262,VT
2019-08-31,205,VT
2019-09-07,271,VT
2019-09-14,240,VT
2019-09-21,236,VT
2019-09-28,249,VT
2019-10-05,279,VT
2019-10-12,308,VT
2019-10-19,392,VT
2019-10-26,369,VT
