date,state,positive,negative,pending,hospitalizedCurrently,hospitalizedCumulative,inIcuCurrently,inIcuCumulative,onVentilatorCurrently,onVentilatorCumulative,recovered,dateChecked,death,hospitalized,total,totalTestResults,posNeg,fips,deathIncrease,hospitalizedIncrease,negativeIncrease,positiveIncrease,totalTestResultsIncrease
2020-04-16,VA,6889.0,39555.0,537.0,1337.0,1114.0,427.0,,238.0,,951.0,2020-04-16T20:00:00Z,208.0,1114.0,46981.0,46444.0,46444.0,51,13.0,66.0,1886.0,389.0,2275.0
2020-04-16,VI,51.0,357.0,35.0,,,,,,,46.0,2020-04-16T20:00:00Z,1.0,,443.0,408.0,408.0,78,0.0,0.0,26.0,0.0,26.0
2020-04-16,VT,768.0,10739.0,,58.0,,,,,,15.0,2020-04-16T20:00:00Z,35.0,,11507.0,11507.0,11507.0,50,5.0,0.0,417.0,9.0,426.0
2020-04-16,WA,11343.0,134751.0,,595.0,,196.0,,,,,2020-04-16T20:00:00Z,571.0,,146094.0,146094.0,146094.0,53,20.0,0.0,3923.0,243.0,4166.0
2020-04-16,WI,3875.0,40974.0,218.0,394.0,1121.0,147.0,299.0,,,,2020-04-16T20:00:00Z,197.0,1121.0,45067.0,44849.0,44849.0,55,15.0,30.0,1648.0,154.0,1802.0
2020-04-16,WV,739.0,17567.0,,85.0,,34.0,,24.0,,223.0,2020-04-16T20:00:00Z,13.0,,18306.0,18306.0,18306.0,54,3.0,0.0,613.0,37.0,650.0
2020-04-16,WY,296.0,6131.0,,19.0,43.0,,,,,148.0,2020-04-16T20:00:00Z,2.0,43.0,6427.0,6427.0,6427.0,56,0.0,0.0,89.0,9.0,98.0
2020-04-15,AK,293.0,8371.0,,,34.0,,,,,106.0,2020-04-15T20:00:00Z,9.0,34.0,8664.0,8664.0,8664.0,02,0.0,2.0,308.0,8.0,316.0
2020-04-15,AL,4113.0,29964.0,,,525.0,,219.0,,134.0,,2020-04-15T20:00:00Z,121.0,525.0,34077.0,34077.0,34077.0,01,11.0,32.0,723.0,237.0,960.0
2020-04-15,AR,1569.0,20265.0,,83.0,130.0,,43.0,26.0,39.0,489.0,2020-04-15T20:00:00Z,33.0,130.0,21834.0,21834.0,21834.0,05,3.0,0.0,614.0,89.0,703.0
2020-04-15,AS,0.0,3.0,17.0,,,,,,,,2020-04-15T20:00:00Z,,,20.0,3.0,3.0,60,0.0,0.0,0.0,0.0,0.0
2020-04-15,AZ,3962.0,41348.0,,590.0,,286.0,,202.0,,385.0,2020-04-15T20:00:00Z,142.0,,45310.0,45310.0,45310.0,04,11.0,0.0,1058.0,156.0,1214.0
2020-04-15,CA,24424.0,192062.0,13200.0,5163.0,,1175.0,,,,,2020-04-15T20:00:00Z,821.0,,229686.0,216486.0,216486.0,06,63.0,0.0,13192.0,1086.0,14278.0
2020-04-15,CO,7941.0,31639.0,,878.0,1556.0,,,,,,2020-04-15T20:00:00Z,329.0,1556.0,39580.0,39580.0,39580.0,08,21.0,63.0,588.0,250.0,838.0
2020-04-15,CT,14755.0,35388.0,,1908.0,,,,,,,2020-04-15T20:00:00Z,868.0,,50143.0,50143.0,50143.0,09,197.0,0.0,3536.0,766.0,4302.0
2020-04-15,DC,2197.0,9328.0,,313.0,,105.0,,79.0,,530.0,2020-04-15T20:00:00Z,72.0,,11525.0,11525.0,11525.0,11,5.0,0.0,102.0,139.0,241.0
2020-04-15,DE,2014.0,11088.0,,208.0,,,,,,354.0,2020-04-15T20:00:00Z,46.0,,13102.0,13102.0,13102.0,10,5.0,0.0,545.0,253.0,798.0
2020-04-15,FL,22511.0,190998.0,1335.0,,3344.0,,,,,,2020-04-15T20:00:00Z,609.0,3344.0,214844.0,213509.0,213509.0,12,72.0,284.0,9185.0,1144.0,10329.0
2020-04-15,GA,14987.0,49103.0,,,2922.0,,,,,,2020-04-15T20:00:00Z,552.0,2922.0,64090.0,64090.0,64090.0,13,51.0,153.0,1531.0,764.0,2295.0
2020-04-15,GU,133.0,843.0,,9.0,,2.0,,2.0,,73.0,2020-04-15T20:00:00Z,5.0,,976.0,976.0,976.0,66,0.0,0.0,32.0,0.0,32.0
2020-04-15,HI,517.0,19286.0,,,45.0,,,,,333.0,2020-04-15T20:00:00Z,9.0,45.0,19803.0,19803.0,19803.0,15,0.0,1.0,370.0,13.0,383.0
2020-04-15,IA,1995.0,17874.0,,171.0,,78.0,,43.0,,908.0,2020-04-15T20:00:00Z,53.0,,19869.0,19869.0,19869.0,19,4.0,0.0,888.0,96.0,984.0
2020-04-15,ID,1464.0,13934.0,,,141.0,,43.0,,,,2020-04-15T20:00:00Z,39.0,141.0,15398.0,15398.0,15398.0,16,6.0,6.0,273.0,11.0,284.0
2020-04-15,IL,24593.0,92336.0,,4283.0,,1189.0,,796.0,,,2020-04-15T20:00:00Z,948.0,,116929.0,116929.0,116929.0,17,80.0,0.0,4967.0,1346.0,6313.0
2020-04-15,IN,8955.0,39441.0,,,,737.0,,422.0,,,2020-04-15T20:00:00Z,436.0,,48396.0,48396.0,48396.0,18,48.0,0.0,1951.0,428.0,2379.0
2020-04-15,KS,1494.0,13174.0,,,342.0,,,,,,2020-04-15T20:00:00Z,76.0,342.0,14668.0,14668.0,14668.0,20,7.0,15.0,453.0,68.0,521.0
2020-04-15,KY,2210.0,25487.0,,305.0,687.0,137.0,263.0,,,653.0,2020-04-15T20:00:00Z,115.0,687.0,27697.0,27697.0,27697.0,21,11.0,14.0,852.0,162.0,1014.0
2020-04-15,LA,21951.0,99977.0,,1943.0,,,,425.0,,,2020-04-15T20:00:00Z,1103.0,,121928.0,121928.0,121928.0,22,90.0,0.0,3073.0,433.0,3506.0
2020-04-15,MA,29970.0,102790.0,,3637.0,3637.0,973.0,,,,,2020-04-15T20:00:00Z,1502.0,3637.0,132760.0,132760.0,132760.0,25,173.0,21.0,3970.0,1861.0,5831.0
2020-04-15,MD,10032.0,45731.0,,,2231.0,,,,,607.0,2020-04-15T20:00:00Z,349.0,2231.0,55763.0,55763.0,55763.0,24,47.0,109.0,1470.0,560.0,2030.0
2020-04-15,ME,770.0,14076.0,,48.0,126.0,22.0,,9.0,,305.0,2020-04-15T20:00:00Z,24.0,126.0,14846.0,14846.0,14846.0,23,4.0,2.0,2468.0,36.0,2504.0
2020-04-15,MI,28059.0,61638.0,,3918.0,,1468.0,,1212.0,,452.0,2020-04-15T20:00:00Z,1921.0,,89697.0,89697.0,89697.0,26,153.0,0.0,2413.0,1058.0,3471.0
2020-04-15,MN,1809.0,38433.0,,197.0,445.0,93.0,175.0,,,940.0,2020-04-15T20:00:00Z,87.0,445.0,40242.0,40242.0,40242.0,27,8.0,40.0,887.0,114.0,1001.0
2020-04-15,MO,4895.0,44117.0,,1024.0,,,,,,,2020-04-15T20:00:00Z,147.0,,49012.0,49012.0,49012.0,29,14.0,0.0,825.0,209.0,1034.0
2020-04-15,MP,13.0,27.0,7.0,,,,,,,,2020-04-15T20:00:00Z,2.0,,47.0,40.0,40.0,69,0.0,0.0,0.0,0.0,0.0
2020-04-15,MS,3360.0,34791.0,,,645.0,154.0,,99.0,,,2020-04-15T20:00:00Z,122.0,645.0,38151.0,38151.0,38151.0,28,11.0,49.0,0.0,273.0,273.0
2020-04-15,MT,404.0,9179.0,,21.0,51.0,,,,,209.0,2020-04-15T20:00:00Z,7.0,51.0,9583.0,9583.0,9583.0,30,0.0,1.0,344.0,5.0,349.0
2020-04-15,NC,5123.0,62704.0,,431.0,,,,,,,2020-04-15T20:00:00Z,117.0,,67827.0,67827.0,67827.0,37,9.0,0.0,2689.0,99.0,2788.0
2020-04-15,ND,365.0,10952.0,,13.0,44.0,,,,,142.0,2020-04-15T20:00:00Z,9.0,44.0,11317.0,11317.0,11317.0,38,0.0,2.0,377.0,24.0,401.0
2020-04-15,NE,901.0,10828.0,,,,,,,,,2020-04-15T20:00:00Z,20.0,,11729.0,11729.0,11729.0,31,2.0,0.0,342.0,30.0,372.0
2020-04-15,NH,1139.0,11027.0,121.0,70.0,178.0,,,,,365.0,2020-04-15T20:00:00Z,32.0,178.0,12287.0,12166.0,12166.0,33,9.0,26.0,437.0,119.0,556.0
2020-04-15,NJ,71030.0,72991.0,,8270.0,,1980.0,,1705.0,,,2020-04-15T20:00:00Z,3156.0,,144021.0,144021.0,144021.0,34,351.0,0.0,2041.0,2206.0,4247.0
2020-04-15,NM,1407.0,31443.0,,87.0,181.0,,,,,340.0,2020-04-15T20:00:00Z,36.0,181.0,32850.0,32850.0,32850.0,35,5.0,0.0,818.0,62.0,880.0
2020-04-15,NV,3211.0,24444.0,,,,,,,,,2020-04-15T20:00:00Z,131.0,,27655.0,27655.0,27655.0,32,11.0,0.0,871.0,123.0,994.0
2020-04-15,NY,213779.0,312233.0,,18535.0,46539.0,5225.0,,,,28004.0,2020-04-15T20:00:00Z,11586.0,46539.0,526012.0,526012.0,526012.0,36,752.0,2253.0,15298.0,11571.0,26869.0
2020-04-15,OH,7791.0,63761.0,,,2237.0,,677.0,,,,2020-04-15T20:00:00Z,361.0,2237.0,71552.0,71552.0,71552.0,39,37.0,81.0,3040.0,638.0,3678.0
2020-04-15,OK,2263.0,26956.0,,194.0,510.0,107.0,,,,1115.0,2020-04-15T20:00:00Z,123.0,510.0,29219.0,29219.0,29219.0,40,15.0,22.0,871.0,79.0,950.0
2020-04-15,OR,1663.0,31688.0,,305.0,401.0,95.0,,43.0,,,2020-04-15T20:00:00Z,58.0,401.0,33351.0,33351.0,33351.0,41,3.0,20.0,958.0,30.0,988.0
2020-04-15,PA,26490.0,111094.0,,2395.0,,,,668.0,,,2020-04-15T20:00:00Z,647.0,,137584.0,137584.0,137584.0,42,63.0,0.0,2808.0,1145.0,3953.0
2020-04-15,PR,974.0,6825.0,1410.0,,,,,,,,2020-04-15T20:00:00Z,51.0,,9209.0,7799.0,7799.0,72,6.0,0.0,541.0,51.0,592.0
2020-04-15,RI,3529.0,22368.0,,229.0,331.0,54.0,,44.0,,168.0,2020-04-15T20:00:00Z,87.0,331.0,25897.0,25897.0,25897.0,44,7.0,0.0,2719.0,278.0,2997.0
2020-04-15,SC,3656.0,31077.0,,,675.0,,,,,,2020-04-15T20:00:00Z,107.0,675.0,34733.0,34733.0,34733.0,45,10.0,0.0,758.0,103.0,861.0
2020-04-15,SD,1168.0,8691.0,0.0,,51.0,,,,,329.0,2020-04-15T20:00:00Z,6.0,51.0,9859.0,9859.0,9859.0,46,0.0,6.0,383.0,180.0,563.0
2020-04-15,TN,6079.0,74817.0,,,663.0,,,,,2196.0,2020-04-15T20:00:00Z,135.0,663.0,80896.0,80896.0,80896.0,47,11.0,30.0,1809.0,256.0,2065.0
2020-04-15,TX,15492.0,136318.0,,1538.0,,,,,,3150.0,2020-04-15T20:00:00Z,364.0,,151810.0,151810.0,151810.0,48,46.0,0.0,4475.0,868.0,5343.0
2020-04-15,UT,2542.0,45072.0,,,221.0,,,,,218.0,2020-04-15T20:00:00Z,20.0,221.0,47614.0,47614.0,47614.0,49,1.0,8.0,1008.0,130.0,1138.0
2020-04-15,VA,6500.0,37669.0,496.0,1298.0,1048.0,394.0,,234.0,,752.0,2020-04-15T20:00:00Z,195.0,1048.0,44665.0,44169.0,44169.0,51,41.0,1048.0,1077.0,329.0,1406.0
